Handle,Title,body_html,Vendor,Type,Tags,Published,Option1,Option1Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,VariantSKU,Variant Grams,Variant Inventory Tracker,VariantQty,VariantPolicy,VariantFulfillmentService,VariantPrice,VariantComparePrice,VariantShipping,VariantTaxable,VariantBarcode,ImageSrc,ImagePosition,ImageAltText,GiftCard,SEOTitle,SEODescription,GoogleShopping,GoogleGender,GoogleAgeGroup,MPN,AdWordsGrouping,Google Shopping / AdWords Labels,GoogleCondition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14k-White-Gold-Round DIAMOND-Floral-Cluster-Necklace-1/3-Cttw,14k White Gold Round Diamond Floral Cluster Necklace 1/3 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.068 <br>Total Gemstone Carat Weight: 1/3 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.05 <br>Gem2 Type: Diamond <br>Gem2 Shape: Round <br>Gem2 Color: G-H <br>Gem2 Clarity: I1-I2 <br>Gem2 Setting: Prong-set <br>Gem 2 Carat Weight: 0.29 <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,JAP05670T/W,,,100,deny,manual,$327.00 ,$713.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0534752_1.jpg,1,,FALSE,14k White Gold Round Diamond Floral Cluster Necklace 1/3 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
Sterling-Silver-Round DIAMOND-Horizontal-Sideways-Cross-Necklace-1/10-Cttw,Sterling Silver Round Diamond Horizontal Sideways Cross Necklace 1/10 Cttw,Precious Metal Type: Sterling Silver <br>Approx. Gram Weight: 1.695 <br>Total Gemstone Carat Weight: 1/10 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: J-K <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.11 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,SVPX104/W,,,100,deny,manual,$85.00 ,$163.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0234177_1.jpg,1,,FALSE,Sterling Silver Round Diamond Horizontal Sideways Cross Necklace 1/10 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
Sterling-Silver-Round DIAMOND-Horizontal-Sideways-Cross-Necklace-1/10-Cttw,,,,,API,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0234177_2.jpg,,,,,,,,,,,,new,,,,,,,,,,
14k-White-Gold-Round DIAMOND-Cluster-Triangle-Necklace-1/3-Cttw,14k White Gold Round Diamond Cluster Triangle Necklace 1/3 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.64 <br>Total Gemstone Carat Weight: 1/3 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.13 <br>Gem2 Type: Diamond <br>Gem2 Shape: Round <br>Gem2 Color: G-H <br>Gem2 Clarity: I2 <br>Gem2 Setting: Prong-set <br>Gem 2 Carat Weight: 0.21 <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,JAP05610T/W,,,100,deny,manual,$354.00 ,$773.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0631808_1.jpg,1,,FALSE,14k White Gold Round Diamond Cluster Triangle Necklace 1/3 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Geometric-Cluster-Necklace-1/3-Cttw,14k White Gold Round Diamond Geometric Cluster Necklace 1/3 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.2102 <br>Total Gemstone Carat Weight: 1/3 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.05 <br>Gem2 Type: Diamond <br>Gem2 Shape: Round <br>Gem2 Color: G-H <br>Gem2 Clarity: I1-I2 <br>Gem2 Setting: Prong-set <br>Gem 2 Carat Weight: 0.25 <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,JAP05570T/W,,,100,deny,manual,$354.00 ,$773.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0534749_1.jpg,1,,FALSE,14k White Gold Round Diamond Geometric Cluster Necklace 1/3 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Floral-Cluster-Necklace-1/3-Cttw,14k White Gold Round Diamond Floral Cluster Necklace 1/3 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.1542 <br>Total Gemstone Carat Weight: 1/3 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.34 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,JAP05640T/W,,,100,deny,manual,$354.00 ,$773.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0631846_1.jpg,1,,FALSE,14k White Gold Round Diamond Floral Cluster Necklace 1/3 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Horizontal-Cross-Necklace-1/20-Cttw,10k White Gold Round Diamond Horizontal Cross Necklace 1/20 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 0.495 <br>Total Gemstone Carat Weight: 1/20 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.06 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,PC1575/W,,,100,deny,manual,$107.00 ,$212.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0180499_1.jpg,1,,FALSE,10k White Gold Round Diamond Horizontal Cross Necklace 1/20 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
1CTW-DIA-CROSS-PENDANT,1CTW DIAMOND CROSS PENDANT,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 0.197 <br>Primary Gem Carat Weight: 0 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,GNDPD546/W,,,100,deny,manual,$871.00 ,"$1,948.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c1589872_1.jpg,1,,FALSE,1CTW-DIA CROSS PENDANT,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Cluster-Cross-Pendant-1-1/3-Cttw,14k White Gold Round Diamond Cluster Cross Pendant 1-1/3 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 0.2778 <br>Total Gemstone Carat Weight: 1 & 1/3 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 1.34 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,PNS112053SLWCZ1/W,,,100,deny,manual,$794.00 ,"$1,773.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0773987_1.jpg,1,,FALSE,14k White Gold Round Diamond Cluster Cross Pendant 1-1/3 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Cluster-Cross-Pendant-1-1/3-Cttw,,,,,API,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0773987_2.jpg,,,,,,,,,,,,new,,,,,,,,,,
