Handle,Title,body_html,Vendor,Type,Tags,Published,Option1,Option1Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,VariantSKU,Variant Grams,Variant Inventory Tracker,VariantQty,VariantPolicy,VariantFulfillmentService,VariantPrice,VariantComparePrice,VariantShipping,VariantTaxable,VariantBarcode,ImageSrc,ImagePosition,ImageAltText,GiftCard,SEOTitle,SEODescription,GoogleShopping,GoogleGender,GoogleAgeGroup,MPN,AdWordsGrouping,Google Shopping / AdWords Labels,GoogleCondition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14k-White-Gold-Round DIAMOND-Curved-Bar-Necklace-3/4-Cttw,14k White Gold Round Diamond Curved Bar Necklace 3/4 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 3.81 <br>Total Gemstone Carat Weight: 3/4 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.75 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,PC16216NLA/W,,,100,deny,manual,$574.00 ,"$1,274.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0409207_1.jpg,1,,FALSE,14k White Gold Round Diamond Curved Bar Necklace 3/4 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Horizontal-Cross-Pendant-Necklace-1/10-Cttw,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 0.91996 <br>Total Gemstone Carat Weight: 1/10 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.1 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,NF073814/W,,,100,deny,manual,$167.00 ,$348.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0175990_1.jpg,1,,FALSE,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Horizontal-Cross-Pendant-Necklace-1/10-Cttw,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 0.91996 <br>Total Gemstone Carat Weight: 1/10 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.1 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,NF073814/W,,,100,deny,manual,$167.00 ,$348.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0175990_1.jpg,1,,FALSE,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
